"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"1387","HVAC Service Manager",60831.62,68854.11,74424.96,75872.17,NA
"1388","Aircraft Mechanic / Service Technician",19.32,22.31,25.66,29.6,31.57
"1389","HVAC Refrigeration Technician",16.26,20.17,24.46,26.96,29.99
"1390","Painter Automotive",13.31,16.81,19.14,20.52,20.89
"1391","Lube Technician",11.19,11.99,12.6,12.72,12.23
"1392","Lineman",18.24,22.21,30.89,34.47,36.09
"1393","Auto Body Technician",13.83,15.44,17.92,20.29,20.31
"1394","Building Maintenance Engineer",19.17,22.02,25.09,26.01,28.12
"1395","HVAC Mechanic",15.1,18.41,24.38,25.8,28.35
"1396","Diesel Shop Foreman / Mechanic",19.7,19.7,23.5,25.53,27.29
"1397","Automotive Service Technician",11.85,13.11,18.48,21.17,25.62
"1398","Telecommunications Technician",17.28,19.75,22.03,25.69,30.34
"1399","Senior Maintenance Technician",22.45,24.05,25.08,26.92,NA
"1400","Maintenance Worker",12.68,14.14,15.93,18.31,20.31
"1401","Utility Locator",15.17,16.46,18.89,21.18,21.91
"1402","Aircraft Maintenance Manager",87428.57,77507.5,83477.94,91914.35,NA
"1403","Facilities Supervisor",52085.33,55838.48,63175.31,62550.2,67557.75
"1404","Security or Fire Alarm Systems Installer",15.14,17.79,20.54,24.61,27.26
"1405","Maintenance Coordinator",15.36,17.34,19.82,20.62,24.82
"1406","Cabinet Installer",14.83,15.69,18.56,20.9,23.09
"1407","Cable Technician",14.93,17.04,19.18,23.6,25.95
"1408","Locksmith",13.82,16.77,19.54,21.55,23.95
"1409","Auto Body Repair Technician",13.75,15.34,18.23,19.57,20.31
"1410","Installation Technician",15.89,17.57,20.49,21.53,23.44
"1411","Forklift Mechanic",17.36,20.63,23.11,24.5,26.01
"1412","HVAC Maintenance Technician",15.48,17.18,20.13,22.37,24.99
"1413","Biomedical Technician",20.24,20.78,23.15,25.82,27.81
"1414","Computer Repair Technician",13.32,14.44,15.48,17.4,20
"1415","HVAC Controls Technician",18.38,23.9,28.14,31.45,33.46
"1416","Electrical Supervisor",24.09,25.06,29.88,32.34,NA
"1417","Seamstress",10.88,12.78,14.2,14.63,15.07
"1418","Building Superintendent",49434.66,46433.08,47538.13,53391.31,63285.12
"1419","Installation Manager",49963.66,53678.62,59495.28,65077.48,66369.07
"1420","Aircraft Maintenance Technician",20.26,24.36,28.05,29.02,34.16
"1421","Journeyman Lineman",20.95,31.62,37.37,39.26,41.07
"1422","Ammonia Refrigeration Technician",18.83,21.57,25.51,27.88,30.01
"1423","Maintenance Supervisor, Apartments",16.68,18.77,20.43,21.99,22.2
"1424","Small Engine Mechanic",12.17,13.69,15.22,16.39,16.37
"1425","Industrial Mechanic",19.55,21.29,25.7,25.59,27.53
"1426","Appliance Technician",15.5,17.18,18.31,20.62,27.41
"1427","Alarm Technician",16.15,17.64,20.26,24.16,28.79
"1428","HVAC Installer",13.87,15.84,20.57,23.01,25.51
"1429","Rigger",15.97,17.5,23.23,24.85,25.92
"1430","Copier Technician",14.44,16.22,17.88,20.71,23.42
"1431","Equipment Manager",45715.94,50829.56,66005.93,69329.67,78706.73
"1432","Building & Facility Manager",50000,59283.12,61123.98,67186.28,66229.98
"1433","Collision Repair Technician",14.67,15.33,18.36,20.06,20.78
"1434","HVAC Installation Technician",14.56,16.95,20.99,24.98,26.78
"1435","Mechanic Foreman",20,20.73,23.56,24.99,26.88
"1436","Heavy Equipment Technician",20.08,24.05,25.54,27.07,NA
"1437","Pool Technician",13.32,14.92,16.82,18.54,19.77
"1438","Refrigeration Mechanic",16.88,21.19,24.45,27.55,29.38
"1439","Instrument and Electrical Technician",25.05,29.86,30.93,33.26,38.26
"1440","Facilities Assistant",15,15.61,18.17,19.39,19.74
"1441","Apprentice Lineman",18.26,19.71,26.29,25.98,NA
"1442","Swimming Pool & Spa Servicer / Technician",12.15,14.1,16.73,18.78,20.24
"1443","Line Service Technician",13.18,14.57,15.85,16.5,19
"1444","Marine Mechanic",14.61,16.95,18.88,22.67,21.79
"1445","Aviation Maintenance Technician",19.88,22.78,25.39,30.52,34.24
"1446","Fleet Mechanic",18.43,21.16,25.04,23.83,NA
"1447","Trailer Mechanic",14.7,17.06,18.6,21.82,22.49
"1448","Aviation Mechanic",19.91,22.59,28.19,29.05,30.29
"1449","Plant Maintenance Manager",70861.34,82438.66,92442.97,92492.26,NA
"1450","Wind Turbine Technician",20.49,22.54,27.42,29.17,NA
"1451","Auto Glass Technician",14.98,17.28,18.48,20.16,21.82
"1452","Mechanic Aircraft",19.49,22.4,26.13,29.76,30.89
"1453","Paralegal",39901.4,43927.99,51205.24,56052.16,60154.94
"1454","Legal Assistant",15.14,16.02,18.59,20.2,23.84
"1455","Associate Attorney",65594.93,75427.46,96045.77,106306.95,107968.3
"1456","Attorney / Lawyer",64230.74,74980.44,97542.26,112657.4,128338.64
"1457","Corporate Counsel",78945.83,103599.49,128543.61,145996.33,155766.38
"1458","General Counsel",76758.32,107697.58,141426.44,174763.96,198157.22
"1459","Senior Paralegal",58984.66,65617.79,72351.79,73568.74,NA
"1460","Legal Counsel",74931.29,100856.7,129376.23,146996.54,168537.91
"1461","Litigation Paralegal",42448.38,49614.64,55850.8,63812.86,65617.13
"1462","Associate General Counsel",79664.29,97295.27,140812.98,172797.81,194370.95
"1463","Title Clerk",13.16,14.49,15.4,16.72,17.61
"1464","Paralegal / Legal Assistant",41553.36,43922.17,52281.95,57891,60828.29
"1465","Senior Counsel",134559.09,154188.57,169553.82,176126.79,NA
"1466","Legal Administrative Assistant",39315.83,43254.36,51026.27,57117.59,63803.1
"1467","Staff Attorney",58449.95,66022.21,76738.31,87376.93,93350.46
"1468","Corporate Paralegal",51243.96,58810.64,67377.45,74560.24,74551.57
"1469","Assistant General Counsel",71618.69,104451.18,140703.66,169486.97,182803.63
"1470","Escrow Officer",40209.24,45644.32,49092.2,55750.32,59006.73
"1471","Law Firm Partner",118407.94,149248.43,184813.17,211705.26,NA
"1472","Law Clerk",15.34,16.31,18.77,16.65,18.27
"1473","Intellectual Property (IP) Paralegal",48387.3,59006.98,66583.35,78770.36,82840.06
"1474","Immigration Paralegal",41477.67,48914.27,55162.45,65748.3,65003.14
"1475","Real Estate Paralegal",38212.41,44907.99,52701.53,58091.64,59455
"1476","Immigration Attorney / Lawyer",60760.6,65512.42,81469.52,92646.26,91000
"1477","Senior Attorney",91475.41,110633.51,138304.18,142819.06,NA
"1478","Associate Attorney (Law Firm)",68167.27,78297.04,100923.58,98252.19,99989.73
"1479","Title Processor",14.95,15.37,17.48,17.36,18.83
"1480","Attorney / Lawyer (Corporate, in-house)",77712.55,88869.88,121169.3,130825.67,143384.16
"1481","Attorney / Lawyer, (Law Firm)",70469.04,85865.35,110910.66,130263.22,151593.27
"1482","Litigation Attorney",72256.76,82038.58,106169.95,125015.22,132165.36
"1483","Title Examiner",37131.79,40652.51,45634.78,48399.46,51427.68
"1484","Senior Corporate Counsel",126252.42,141442.25,155656.8,171184.95,NA
"1485","Patent Attorney",98682.9,120418.48,154121.54,175031.79,182131.52
"1486","Patent Agent",85741.35,94852.65,119418.72,121462.39,131469.48
"1487","Entry-Level Attorney",60254.36,60515.23,55481.06,99500,NA
"1488","Corporate Lawyer",96472.15,102201.83,114698.63,130240.69,157038.8
"1489","Criminal Defense Lawyer",61980.32,75418.22,90825.95,103297.33,103709.97
"1490","Legal Administrator",41093.48,51070.64,60114.14,63890.13,69590.89
"1491","Corporate Attorney",87671.47,99232.87,122604.46,145533.1,177525.69
"1492","Deputy General Counsel",103083.14,152847.62,198018.59,203372.52,NA
"1493","Litigation Support Specialist",41352.44,58704.29,66258.89,67349.31,66906.58
"1494","Managing Attorney",76708.42,98425.46,114170.14,148981.05,NA
"1495","Tax Attorney",85209.8,85206.36,124662.48,138417.48,154184.06
"1496","Paralegal or Legal Assistant",37000,41174.53,58392.87,54047.41,55000
"1497","Intellectual Property (IP) Specialist",44062.32,51239.1,71392.56,76222.77,80808.54
"1498","Title Officer",39547.85,41761.24,51394.69,54681.19,64434.33
"1499","Family Law Attorney",58959.22,69315.7,83576.1,95000,97529.56
"1500","Legal Analyst",56324.68,57106.63,67091.67,67249.17,67970.93
"1501","Docketing Specialist",41516.85,56324.05,65876.95,71180.18,77884.62
"1502","Abstractor",15.72,16.33,18.08,18.29,20.94
"1503","Conflicts Analyst",48612.1,50649.68,66339.99,73378.65,83843.75
"1504","Attorney, Government",54404.99,64150.41,94203.53,108000,129180.24
"1505","Legal Specialist",50000,60955.14,65404.58,74802.48,70733.47
"1506","Real Estate Attorney",61041.89,76591.46,98632.57,98263.52,120000
"1507","Paralegal Supervisor",54766.02,62497.74,67618.28,77782.77,NA
"1508","Immigration Consultant",51475.91,57863.99,73206.85,96851.86,80500
"1509","Legislative Assistant",38123.12,40795.94,51997.09,48500,62400
"1510","Public Defender",48987.4,52731.01,70293.25,71603.86,78570.06
"1511","Paralegal Manager",74000,83175.54,83030.33,92903.23,NA
"1512","Prosecutor",54304.58,62037.62,68361.64,94087.5,97017.72
"1513","Title Examiner, Abstractor, or Searcher",12.54,15.72,17.96,21.99,22.25
"1514","Ombudsman",50915.62,50556.2,69183.75,69271.63,95296.56
"1515","Court Reporter",80950.62,43711.21,44119.86,51787.6,58531.15
"1516","Legal Intern",15.01,17.44,NA,NA,NA
"1517","Junior Associate Attorney",63840.2,69766.14,65000,NA,NA
"1518","Paralegal Assistant",15.58,16.91,18.16,25.96,NA
"1519","Senior Legal Assistant",45298.09,60095.45,61606.57,67246.62,NA
"1520","Intellectual Property (IP) Attorney",96500,104804.68,146499.86,178984.22,160000
"1521","Assistant District Attorney",54700,58128.8,72062.66,73653,78441.14
"1522","Legal File Clerk",12.85,13.8,14.4,15.54,14.42
"1523","Trial Lawyer",70733.47,78610.81,92825.63,98263.52,157266.48
"1524","Administrative Law Judge, Adjudicator, or Hearing Officer",75000,59271.88,81664.86,82697.31,109416.5
"1525","Title Abstractor",36105.83,40902.44,50000,42000,47916.67
"1526","Calendar Docket Clerk, Legal",15.32,17.89,22,26,NA
"1527","Intellectual Property (IP) Assistant",45000,48611.53,56500,67434.37,77225.66
"1528","Managing Partner, Law Firm",154363.71,197840.03,217241.38,NA,NA
"1529","Title Searcher",12.77,14.97,15.69,15.74,20.48
"1530","Estate Planning Attorney",55000,72718.31,102439.02,103668.94,1e+05
"1531","Intellectual Property (IP) Lawyer",100841.27,101736.48,134498.35,171184.07,169400
"1532","Legislative Aide",37531.91,45519.84,55385,50851.49,NA
"1533","Counsel, Patent",139992.52,165179.25,179453.62,250000,NA
"1534","Senior Attorney / Lawyer (Corporate, in-house)",92500,138627.15,141030.6,193166.93,NA
"1535","Divorce Lawyer",75000,80509.82,102549,126298.81,115000
"1536","Mediator",51,70,75,170,213
"1537","Assistant Attorney General",67722.52,78320.55,89581.59,93537.42,NA
"1538","District Attorney",57271.48,69710.58,78616.51,90000,107500
"1539","Legal Records Clerk",13.03,13.07,14.89,17.14,23
"1540","Legal Executive /General Counsel",1e+05,140300.05,148738.09,199411.16,NA
"1541","Wholesale Title Clerk, Auto/Truck",13.51,14.71,15.18,16.18,21.5
"1542","Litigation Support Supervisor",75000,63464.57,85000,65991.29,NA
"1543","Assistant City Attorney",66735.52,80981.38,83552.97,76892.97,NA
"1544","Legal Advisor",60000,68467.15,77663.8,94000,106000
"1545","Clerk, Legal",14.52,14.38,16.71,18.74,NA
"1546","Judge, Magistrate Judge, or Magistrate",52414.19,56460.18,59542.97,79496.86,90000
"1547","Lawyer, Public Interest",52881.27,59178.4,73469.39,79479.59,113000
"1548","Regulatory Lawyer",88300,109287.88,108331.04,158790.93,NA
"1549","Bankruptcy Attorney",63097.67,80500,126968.5,120000,NA
"1550","Sr. Staff Attorney",83523.99,82976.23,86255,95198.25,NA
"1551","Associate Attorney / Lawyer (Corporate, in-house)",62027.58,75986.84,95691.21,137358.34,90000
"1552","Foreign Service Officer",55018.12,78640.45,88529.42,116186.13,NA
"1553","Field Service Supervisor",46828.43,53769.89,63529.68,68338.2,69712.42
"1554","Laborer",14.2,15,16.37,17.13,18.01
"1555","Housekeeper",10.15,10.96,11.93,12.7,14.03
"1556","Custodian",11.49,12.18,12.91,13.7,14.73
"1557","Maid or Housekeeping Cleaner",10.34,11.67,12.73,14.32,15.42
"1558","Housekeeping Supervisor",13.37,13.88,14.11,14.91,15.38
"1559","Janitor",11.14,11.67,12.45,13.03,13.17
"1560","Landscaper",12.77,13.86,14.95,15.45,18.32
"1561","Cleaner",11.58,12.08,13.04,13.9,14.95
"1562","Pest Control Technician",14.77,15.41,16.99,17.93,18.13
"1563","Landscape Foreman",13.84,15.93,17.31,18.68,19.91
"1564","Janitor or Cleaner (but not Maid or Housekeeping Cleaner)",10.98,11.69,12.13,12.63,13.19
"1565","Housekeeping Manager",40249.26,40321.21,45681.79,46094.34,46425.67
"1566","Housekeeper, Hospital",10.77,11.46,12.11,12.32,12.35
"1567","Executive Housekeeper",32173.87,38455.76,41471.45,42254.78,42322.47
"1568","Arborist",17.86,18.77,21.55,23.35,24.19
"1569","Groundskeeper",12.18,12.57,13.96,16.01,15.97
"1570","Hotel Housekeeping Aide/Attendant/Assistant",9.97,10.07,10.86,10.8,11.12
"1571","Pesticide Handler / Sprayer / Applicator, Vegetation",14.01,15.77,16.91,17.81,17.35
"1572","Landscape Laborer",12.14,13.08,14.61,14.67,14.39
"1573","Head Custodian",12.47,14.01,15.09,15.53,17
"1574","Irrigation Technician",14.31,15.53,17.81,19.07,19.94
"1575","Housekeeping Aide",11.62,12,12.32,12.61,13.49
"1576","Gardener",13,14.49,16.22,19.93,20.4
"1577","Director of Environmental Services",45571.88,58482.95,70230.88,72043.93,83308.62
"1578","Tree Trimmer",14.75,16.18,17.58,19.89,19.62
"1579","Landscape Manager",42500,46984.88,50139.67,54514.18,60842.65
"1580","Custodian Janitor",11.06,11.73,12.84,13.09,13.35
"1581","Golf Course Superintendent",49736.24,55535.63,62549.36,63058.97,NA
"1582","Landscaping or Groundskeeping Worker",12.49,12.86,14.25,14.88,15.4
"1583","Caretaker",11.78,12.24,11.86,12.89,14
"1584","Residential Remodeler",13.58,16.19,18.28,21.9,24.12
"1585","Maid",10.05,10.14,11.46,14.16,12.51
"1586","Head Housekeeper",10.37,11.66,11.95,12.4,12.96
"1587","Landscaping Supervisor",16.13,16.6,18.69,19.26,NA
"1588","Groundsman",13.84,14.14,15.25,16.15,17.81
"1589","Custodial Supervisor",13.46,14.89,15.65,17.05,16.77
"1590","Grounds Maintenance Foreman",13.76,15.75,19.01,20.17,NA
"1591","School Custodian",11.57,12.77,13.79,14.6,14.78
"1592","Houseman",10.53,11.26,11.72,12.1,14.45
"1593","Janitorial Supervisor",12.32,13.52,15.48,15.41,15.36
"1594","First-Line Supervisor / Manager of Landscaping, Lawn Service, and Groundskeeping Workers",11.68,13.47,15.08,15.93,17.3
"1595","Landscape Gardener",13.2,14.09,15.95,18.56,25.21
"1596","Carpet Cleaner",12.44,13.99,14.72,15.02,17.26
"1597","Tree Trimmer / Pruner",14.28,16.26,18.86,18.14,22.5
"1598","Caretaker, Grounds",12.76,13.88,13.48,15.33,16.28
"1599","Housecleaner",10.82,13.17,15.05,19.82,20.19
"1600","Window Cleaner",12.4,15.64,16.87,17.25,20
"1601","Senior Facilities Manager",85307.6,90223.8,99863.5,108376.21,NA
"1602","Environmental Services Director",51756.11,54695.63,66667.17,72932.87,NA
"1603","Building & Grounds Supervisor",52740.37,52587.98,50330.38,60834.57,NA
"1604","Custodial Manager",43612.52,45740.33,54382.72,55000,NA
"1605","General Duty/ Housekeeper",10.07,10.29,10.33,10.34,15.31
"1606","Housekeeping Supervisor/Inspector",11.03,11.64,12.39,12.73,13.31
"1607","Sexton",13.69,16.4,16.19,13.44,NA
"1608","First-Line Supervisor / Manager of Housekeeping and Janitorial Workers",12.57,13.48,13.68,14.39,NA
"1609","Director of Buildings and Grounds",62207.28,57632.73,74463.26,83147,NA
"1610","Building Cleaner",10.26,12.21,12.77,14.24,14.83
"1611","Greenskeeper",11.17,11.24,12.36,14.72,14.03
"1612","Exterminator",14.41,15.04,16.17,17.07,20
"1613","Golf Groundskeeper",10.85,11.19,11.77,11.12,15.84
"1614","Landscaping Contractor",10.24,19.44,20.23,19.65,40
"1615","Housekeeping Head",12.25,12.33,12.63,12.5,NA
"1616","Hotel Housekeeper",9.77,10.12,10.6,9.99,12
"1617","Assistant Executive Housekeeper",9.88,10.81,12.2,12.56,16
"1618","Night Cleaner",10.32,11.78,11.99,14,13
"1619","Window Washer",12.76,14.85,15.09,15.48,20.35
"1620","Tree Surgeon",17.49,17.8,20.43,25,NA
"1621","Consultant, Cleaning Services",12.6,15,15.58,25,NA
"1622","Laundry Supervisor",11.88,13,14.93,16.99,NA
"1623","Irrigation Worker",12.19,13.5,14.24,16.25,NA
"1624","Houseperson",10.8,11.71,12.98,11.72,NA
"1625","Pest Control Worker",14.8,14.14,17.21,20,15
"1626","Laundry Manager",45000,40975.61,58828,71215.54,NA
"1627","Crime Scene Cleaner",15.47,16,21.32,17,NA
"1628","Domestic Laundry Worker",9.39,13.02,10.17,13,NA
"1629","Project Manager, Landscaping",15.58,16,19.53,20,NA
"1630","Crew Supervisor, Window Washers",9.06,11.25,15,NA,NA
"1631","Cleaner Hospital",9.36,10.34,10.75,10.5,12.77
"1632","Housekeeping Director, Hospital",13.48,12,27.5,28.32,NA
"1633","Medical Housekeeper",9.62,11.5,13.29,13.13,NA
"1634","Housekeeping Dispatcher",11.5,12.39,NA,NA,NA
"1635","Branch Manager, Janitorial Services",50000,48186.53,63863.91,57391.3,NA
"1636","Steam Cleaner",11.25,NA,NA,NA,NA
"1637","Associate Vice President (AVP), Facilities",125000,142500,NA,NA,NA
"1638","Clean Room Supervisor",19.53,NA,NA,NA,NA
"1639","Exterminator, Licensed",14.55,19,NA,NA,NA
"1640","Store Cleaning Manager",11.86,NA,NA,NA,NA
"1641","Steward/Night Cleaner",10.34,12.25,NA,NA,NA
"1642","Fumigator",15,15.25,NA,NA,NA
"1643","Clean Room Inspector",NA,NA,NA,NA,NA
"1644","General Manager, Laundry",42700,80000,NA,NA,NA
"1645","Campground Attendant",10.17,NA,NA,NA,NA
"1646","Clean Room Manager",13.48,NA,NA,NA,NA
"1647","Production Supervisor",54256.13,57168.25,60503.53,63845.04,66230.01
"1648","Welder",16.21,17.63,19.56,20.73,22.69
"1649","Heavy Equipment Operator",16.72,18.27,20.16,22.09,24.7
"1650","Quality Manager",63362.94,70452.62,81569.25,89090.15,92534.44
"1651","Production Manager, Manufacturing",60136.4,65755.2,72576.43,78004.42,82226.26
"1652","Quality Assurance (QA) / Quality Control (QC) Inspector",15.16,16.59,19.27,20.76,23.25
"1653","Warehouse Supervisor",48474.77,50606.96,53321.27,55646.21,58951.61
"1654","Production Operator",14.87,16.11,18.23,18.95,20.64
"1655","Quality Assurance Manager",61026.02,68538.9,79788.48,92252.45,96328.32
"1656","Welding Inspector (Certified)",23.54,25.32,27.81,29.05,31.84
"1657","Machinist",14.97,17.34,20.62,22.6,24.77
"1658","Quality Assurance (QA) Specialist",50922.3,56398.52,65758.97,69391.92,72076.38
"1659","Plant Manager, Manufacturing",74408.47,79344.25,88541.46,100571.91,104425.87
"1660","Computer Numerically Controlled (CNC) Operator and Programmer",15.04,17.68,20.55,23.01,25.46
"1661","Equipment Operator",16.03,17,18.64,20.13,22.94
"1662","Production Worker",12.99,13.61,15.03,15.47,16.43
"1663","Production Supervisor, Manufacturing",55259,58001.76,61221.52,65930.94,67775.88
"1664","Quality Assurance (QA) Director",77038.61,82107.28,96439.8,122992.18,129923.91
"1665","Assembler",13.88,14.64,15.81,16.89,18.32
"1666","Baker",11.36,12.31,13.53,14.14,15.43
"1667","Computer Numerically Controlled (CNC) Machinist",15.4,17.3,20.53,22.51,24.61
"1668","Quality Control Inspector",14.86,15.94,18.58,20.01,21.95
"1669","Meat Cutter",12.95,14.33,16.2,17.58,18.2
"1670","Warehouse Lead",15.71,16.66,17.54,18.64,19.36
"1671","Computer Numerically Controlled (CNC) Operator",14.76,15.89,17.65,18.9,19.85
"1672","Quality Control Manager",53267.65,63351.95,73205.82,79764.68,83690.54
"1673","Production Team leader",15.09,17.3,18.85,20.32,21.88
"1674","Machine Set Up Operator",14.44,15.43,16.94,19.12,20.42
"1675","Production Manager, Print",43459.55,49052.1,54867.64,60927.19,67047.72
"1676","Production Lead, Manufacturing",17.36,17.99,19.51,21.74,24.14
"1677","Cake Decorator",11.85,12.71,14.32,14.92,15.15
"1678","Water Treatment Operator",16.04,17.87,21.07,23.16,25.17
"1679","Machine Operator",14.46,15.79,17.11,18.19,19.28
"1680","Process Technician",19.57,20.09,22.02,23.86,25.01
"1681","Manufacturing Supervisor",60250,62654.53,67535.93,70239.18,70337.1
"1682","Assembly Line Worker, Factory",13.56,14.27,15.38,16.88,19.14
"1683","Fabricator",14.28,16.35,19.24,20.71,22.66
"1684","Manufacturing Manager",73751.6,78113.84,88929.11,91724.01,95713.19
"1685","Quality Control (QC) Supervisor",53585.19,55802.42,63193.92,68525.74,74400.22
"1686","Press Operator",14.03,15.29,16.9,19.52,21.5
"1687","Quality Assurance Supervisor",56630.64,58056.48,62755.21,66282.77,69033.19
"1688","Tool and Die Maker",15.06,19.66,22.57,25.87,28.12
"1689","Waste Water Plant Operator",16.35,18.08,21.11,22.81,24.89
"1690","Tig Welder",15.57,17.56,20.01,21.57,22.96
"1691","Machinist Set Up Operator",14.05,16.62,19.71,21.18,23.89
"1692","Manufacturing Worker",13.65,14.9,16.49,17.86,18.66
"1693","Test Technician",18.72,20.02,22.88,24.65,27.19
"1694","Computer Numerically Controlled (CNC) Programmer",18.02,19.99,22.81,26.83,29.21
"1695","Chemical Operator",17.67,19.75,23.19,24.66,26.65
"1696","Production Associate",14.66,15.11,15.66,17.26,17.89
"1697","Metal Fabricator",14.82,16.62,19.08,20.37,21.97
"1698","Framer - Construction",14.58,16.24,18.79,19.5,20.22
"1699","Manufacturing Team Leader",16.62,18.5,19.73,21.63,23.83
"1700","Production Manager, (Unspecified Type)",44959.49,54966.65,63351.38,69225.12,68130.8
"1701","Picker",13.94,13.94,14.4,14.75,16
"1702","Assembly Line Machine Operator",13.41,14.35,15.32,15.96,15.93
"1703","Cabinet Maker",13.48,15.3,17.71,19.91,22.27
"1704","Packaging or Filling Machine Operator / Tender",13.92,14.91,16.26,18.49,18.86
"1705","Project Manager, Manufacturing",57242.95,64417.34,79574.05,85274.73,84672.54
"1706","Meat Clerk",11.28,11.86,12.73,13.65,15.21
"1707","Mig Welder",15.59,16.41,18.04,18.46,20.15
"1708","Industrial Painter",14.6,16.62,18.85,20.11,21.56
"1709","Dental Laboratory Technician",13.39,15.21,18.21,20.26,22.51
"1710","Laser Machine Operator (Metal Fabrication)",14.8,16.17,18.08,19.5,21.29
"1711","Pipe Welder",19.2,22.25,25.61,28.12,29.42
"1712","First-Line Supervisor / Manager of Production and Operating Workers",51051.9,52841.7,59074.47,61159.96,70057.36
"1713","Screen Printer",10.99,12.55,14.37,15.48,16.07
"1714","Bakery Manager",14.91,16.29,17.26,17.71,18.57
"1715","Pastry Chef",11.81,14.3,15.9,16.89,16.74
"1716","Crew Chief",11.22,14.61,18.22,21.77,23.27
"1717","Structural Metal Fabricator / Fitter",15.94,17.86,20.18,21.02,21.38
"1718","Bakery Clerk",11.19,11.55,12.09,13.42,13.97
"1719","Warehouse Team Leader",15.34,16.33,17.42,18.22,20.06
"1720","Heavy Machine Operator",14.46,16.09,17.59,18.78,21.82
"1721","Brewer",14.5,15.39,18.11,20.73,25
"1722","Press Brake Operator",14.53,16.15,17.7,19.58,20.72
"1723","Technical Designer, Apparel",43133.82,51380.23,63240.83,79216.31,83716.57
"1724","Demand Planning Manager",75813.85,81277.26,94379.36,103394.32,103890.91
"1725","Ramp Agent",12.93,13.92,17.03,18.08,27.95
"1726","Quality Assurance Inspector, Manufacturing",14,16.34,19.58,20.89,20.66
"1727","Senior Quality Assurance (QA) / Quality Control (QC) Inspector",18.74,20.17,21.5,25.44,27.97
"1728","Combo Welder",16.47,18.85,22.31,23.03,24.13
"1729","Injection Molding Technician",14.79,17.17,19.43,21.12,23.61
"1730","Assembly Line Worker",12.8,14,15.55,15.72,17.79
"1731","Production Foreman",17.19,19.08,21.43,22.49,24.71
"1732","Toolmaker",16.31,18.94,23.17,26.65,26.59
"1733","Digital Press Operator",14.66,15.8,18.5,18.64,19.62
"1734","Ironworker",18.09,21.99,25.08,28.3,30.3
"1735","Laundry Attendant",9.99,10.11,10.37,11.06,12.1
"1736","Print Press Operator",14.39,15.27,17.57,18.99,22.31
"1737","Chemical Process Operator",19.84,22.93,27.09,26.71,30.91
"1738","Scheduling Manager",44325.67,48552.11,60200.66,71722.05,83329.09
"1739","Production Specialist",15.45,16.24,17.34,18.3,22.38
"1740","Dental Technician",13.88,15.37,17.78,20.22,21.96
"1741","Production Planning Manager",57808.16,69525.5,82423.06,87023.65,88815.1
"1742","Electronics Assembler",13.41,15.01,15.61,17.35,17.58
"1743","Printing Machine Operator",13.81,15.37,16.77,17.09,19.27
"1744","Butcher",12.03,13.2,15.14,17.58,19.46
"1745","Stationary Engineer",24.54,27.65,32.37,32.75,32.17
"1746","Water Plant Operator",16.04,17.54,19.12,22.4,23.36
"1747","Marketing Manager",48387.44,59781.18,70321.03,77616.95,80099.54
"1748","Marketing Director",48280.61,60489.59,85939.51,106496.46,112536.11
"1749","Marketing Coordinator",41372.48,45055.42,50082.71,52232.86,53748.92
"1750","Business Development Manager",53386.4,63887.83,78059.52,87159.94,92580.39
"1751","Senior Marketing Manager",87893.61,85059.47,97165.22,108281.2,116192.33
"1752","Digital Marketing Manager",47828.48,60767.79,72546.6,82409.15,91879.24
"1753","Vice President (VP), Marketing",81024.42,102412.29,128343.44,152591.94,164681.6
"1754","Social Media Manager",40734.74,49736.3,62062.41,69286.21,63871.29
"1755","Business Development Director",67187.14,79674.46,98862.96,121221.56,128565.23
"1756","Communications Manager",45651.74,56134.21,69743.34,81070.25,79679.7
"1757","Business Director",55971.19,62236.27,72249.63,119992.55,114854.15
"1758","Product Marketing Manager",76829.38,86530.18,97024.03,103719.2,112225.28
"1759","Vice President (VP), Business Development",81160.61,93915.26,120402.16,144991.66,151921.16
"1760","Product Management Director",122446.21,144843.52,154486.82,157277.73,NA
"1761","Project Manager, Marketing",48947.08,59262.98,68927.37,76697.65,82855.97
"1762","Brand Manager",48751.97,63386.93,77451.56,82263.09,80811.22
"1763","Marketing Communications Manager",44887.09,56798.07,67892.8,76181.02,80908.57
"1764","Communications Coordinator",40900.11,44665.24,48961.85,51432.51,54034.72
"1765","Account Director",57287.59,77539.49,96715.08,106059.05,122478.8
"1766","Product Development Manager",56340.2,71599,84562.02,101582.12,103243.13
"1767","Content Marketing Manager",48533.29,61142.54,73689.33,82075.93,88964.17
"1768","Category Manager",64639.5,75487.19,90928.17,97309.88,97493.17
"1769","Director, Marketing and Communications",57325.12,57034.05,77930.97,92947.82,98379.91
"1770","Sales and Marketing Coordinator",40222.38,45660.68,50093.14,55370.11,50814.09
"1771","Strategic Partnership Manager",59363.81,71324.23,86330.34,100896.36,102670.93
"1772","Account Supervisor",46083.83,71340.82,76538.07,76441.97,75635.06
"1773","Senior Product Marketing Manager",119276.35,125844.19,134152.53,141868.96,NA
"1774","Program Manager, Marketing",58931.36,67876.23,82937.49,92865.53,96039.65
"1775","Marketing Operations Manager",62100.51,74533.3,86395.92,95900.02,98854.16
"1776","Social Media Marketing Manager",40697.87,50173.77,65605.66,72157.9,70791.26
"1777","Marketing Communications Coordinator",39934.72,45046.56,50792.73,54725.99,60000
